nIdPessoa;data_referencia
314190;2022-10-05
296807;2021-05-13
212125;2019-05-09
106922;2017-05-05
209406;2019-05-08
92573;2016-08-23
270939;2020-11-10
404211;2023-08-18
277194;2021-03-18
394405;2023-06-08
377950;2023-08-28
125395;2016-12-01
266760;2021-01-06
360420;2023-01-11
325224;2022-02-03
207425;2020-10-20
191162;2022-11-03
22415;2015-10-07
47229;2020-05-21
325179;2022-01-13
79589;2017-10-21
207220;2019-04-02
163840;2018-05-15
314123;2021-11-03
130398;2018-11-15
28953;2016-03-09
394029;2023-05-06
401796;2023-06-24
20153;2018-07-11
221356;2020-07-23
332555;2022-01-12
220608;2021-07-07
278598;2021-08-03
153285;2017-07-15
307822;2021-09-11
278947;2021-12-14
310253;2023-08-23
315450;2022-03-09
284605;2022-12-14
194299;2018-11-11
16668;2019-03-07
72957;2017-06-06
192780;2019-02-06
192027;2019-02-01
195622;2019-04-09
251145;2020-08-05
373039;2023-01-03
399750;2023-10-06
384324;2023-05-16
153850;2018-03-21
270013;2020-12-01
401775;2023-09-03
345043;2022-07-10
268557;2020-10-06
49429;2016-09-02
110613;2017-06-14
57641;2019-01-01
368786;2023-08-23
119255;2016-06-08
101997;2015-12-02
216544;2020-10-13
75267;2015-12-02
345367;2023-01-03
222087;2019-07-03
279227;2022-10-14
125040;2021-04-27
250300;2022-09-20
125235;2016-11-05
350784;2022-07-12
284944;2021-01-10
241219;2020-02-04
144678;2017-06-13
17122;2015-10-06
224118;2019-11-13
344445;2022-10-18
184876;2018-06-06
111309;2016-06-17
393047;2023-05-03
204129;2020-06-20
320824;2021-10-23
171508;2018-11-03
222828;2023-05-03
165177;2018-08-11
411262;2023-08-23
195193;2018-11-08
125763;2019-06-15
266461;2020-11-05
100927;2018-01-02
229246;2020-11-03
10653;2022-06-22
113584;2021-07-17
64487;2016-06-15
411812;2023-10-12
396398;2023-07-07
73564;2021-08-03
377496;2023-01-17
246943;2020-05-03
204754;2022-06-23
215487;2020-11-11
105821;2016-10-18
178783;2022-06-21
108427;2016-08-04
182176;2018-05-11
189900;2018-09-02
305591;2021-09-02
213983;2021-10-07
278751;2022-04-02
91578;2016-04-13
237893;2021-07-15
50337;2020-01-02
193453;2019-06-04
2634;2016-05-03
226605;2019-10-08
378785;2023-05-11
308865;2021-08-10
178144;2018-03-14
63776;2015-11-17
144500;2017-01-18
185000;2018-06-14
124109;2016-07-05
39576;2016-06-15
323839;2022-04-12
308799;2021-11-19
166606;2018-02-06
177129;2018-04-03
158798;2022-05-03
373604;2023-01-17
294080;2021-05-22
364105;2023-06-03
223927;2019-09-03
298202;2022-03-03
275013;2020-09-19
255469;2022-11-16
225840;2019-08-16
102756;2016-08-10
161847;2018-05-15
137403;2018-10-23
206550;2021-09-02
218709;2020-04-15
186713;2018-07-18
103228;2016-05-03
213043;2019-08-03
226493;2021-08-03
298088;2021-05-06
351234;2022-06-12
199483;2021-05-04
219281;2022-02-01
338642;2022-05-13
312948;2021-08-19
217962;2020-11-03
139811;2016-12-14
355450;2022-11-18
166117;2017-11-03
176549;2018-04-21
135056;2019-01-15
3535;2020-05-14
317785;2021-09-15
49742;2017-03-03
380517;2023-05-16
348927;2023-08-03
351728;2022-06-03
249884;2020-04-17
44428;2016-03-03
212037;2019-03-12
123403;2017-11-03
68214;2017-07-06
284567;2021-08-03
405003;2023-09-08
393292;2023-08-03
305825;2022-11-03
259570;2021-03-03
407655;2023-09-20
185029;2021-10-05
382319;2023-02-14
267386;2021-03-03
129208;2017-11-17
360113;2023-05-09
272526;2021-06-03
295791;2021-06-24
308887;2022-02-02
340643;2022-11-08
258383;2020-12-01
113155;2018-09-06
181517;2018-05-16
40977;2017-02-07
296326;2022-05-03
259111;2020-09-18
20839;2016-11-16
351392;2022-11-17
157976;2018-05-24
286226;2021-09-17
267892;2020-09-09
309305;2022-02-11
317518;2021-10-05
80800;2015-12-15
224396;2019-12-03
215290;2019-05-14
286274;2020-12-22
235211;2022-11-03
227830;2021-02-10
226320;2019-11-14
38639;2016-05-20
276789;2021-02-02
191746;2021-12-16
316852;2023-10-20
228311;2019-10-23
128322;2016-07-22
135979;2017-05-09
52041;2016-09-02
223151;2020-05-05
209121;2019-07-03
44622;2015-10-16
124839;2017-05-03
128231;2018-12-12
398875;2023-11-03
42698;2015-11-04
305815;2021-05-21
24082;2016-12-01
176500;2018-12-11
321313;2023-06-14
225569;2020-01-15
159542;2018-01-04
106274;2016-03-11
168778;2018-06-14
157984;2018-03-13
154327;2017-06-03
34143;2016-02-11
342061;2022-05-03
393365;2023-09-02
329169;2022-06-18
195536;2018-10-23
193743;2018-09-04
125645;2016-07-05
132639;2017-04-05
321368;2023-04-11
220854;2021-01-01
143016;2018-02-01
46746;2020-03-06
92997;2016-09-10
345025;2023-01-17
145735;2017-06-08
279550;2020-11-03
278863;2020-12-01
108184;2017-02-01
214555;2023-06-13
149288;2018-04-03
43514;2016-09-02
187882;2020-07-21
3957;2016-02-18
217117;2020-10-13
61963;2017-04-04
207446;2019-01-11
105234;2019-03-12
185677;2018-09-04
323200;2023-07-13
8611;2020-05-16
107073;2016-03-08
409380;2023-08-15
397784;2023-05-12
82587;2016-02-06
310168;2021-11-16
165796;2019-02-08
45899;2015-11-14
181661;2023-04-11
167886;2018-01-01
250532;2020-05-12
254670;2020-05-21
243772;2020-03-05
311966;2021-09-10
223436;2020-05-05
61549;2018-02-01
106114;2018-10-09
156265;2023-03-15
211806;2021-11-03
334530;2023-03-03
160649;2018-09-05
112348;2016-03-18
304248;2022-02-01
309593;2021-11-03
252884;2020-11-04
165315;2018-01-10
163923;2020-12-10
94516;2021-09-18
195105;2019-11-05
367412;2023-01-19
148798;2017-02-14
362577;2022-09-02
23525;2016-04-15
27041;2017-04-05
38731;2018-08-08
42934;2016-05-12
85178;2018-04-03
105127;2020-12-01
165086;2022-07-26
339202;2023-08-03
331173;2022-02-11
91682;2017-02-10
308571;2023-01-04
7551;2016-01-09
11846;2015-12-02
338860;2022-03-19
103620;2019-05-18
149020;2018-06-07
283928;2020-12-01
326496;2022-03-22
129196;2017-01-04
356681;2023-04-18
337154;2023-05-20
315068;2021-09-30
52000;2018-10-09
394718;2023-06-23
158004;2018-04-20
9445;2017-02-10
64015;2015-11-03
156237;2017-09-19
237952;2020-09-02
81144;2016-08-20
271579;2020-09-05
198151;2019-04-05
317442;2022-12-01
66639;2015-10-06
341959;2022-11-03
264775;2023-04-06
400767;2023-05-18
303552;2021-12-10
17179;2021-04-02
33052;2016-11-03
288971;2021-04-13
53612;2018-04-03
41965;2016-03-19
367679;2022-10-18
207341;2019-04-02
163705;2020-04-02
350069;2022-12-16
129980;2016-08-03
293298;2022-07-05
199133;2019-02-01
381701;2023-06-03
132706;2017-03-07
187655;2018-09-18
165958;2019-12-05
320883;2022-03-15
195165;2021-07-08
186988;2018-09-04
108441;2018-11-16
139186;2017-02-07
209636;2019-05-03
240599;2020-03-06
278883;2020-10-06
201223;2019-11-16
264201;2020-09-05
359260;2022-10-04
317042;2022-04-20
68724;2017-02-01
177204;2020-09-18
4761;2018-01-11
31184;2018-07-10
243716;2021-07-06
93842;2016-05-03
228520;2020-11-21
356092;2022-11-04
269237;2022-11-03
326987;2022-04-09
53627;2018-06-05
245936;2021-02-02
169793;2019-01-02
115854;2017-01-18
189879;2022-01-13
269823;2021-11-03
235820;2020-04-02
117781;2017-04-29
180915;2020-09-02
212701;2019-04-24
372273;2023-01-12
96027;2016-03-03
239278;2021-09-02
262312;2020-11-11
192247;2018-08-03
176508;2018-01-16
331674;2022-01-21
171731;2018-10-13
363212;2023-11-05
113510;2023-03-03
351414;2022-09-07
408676;2023-10-04
280244;2020-11-11
293559;2021-10-06
168896;2020-10-21
15512;2021-07-06
114414;2017-03-03
135878;2018-10-16
32268;2018-09-18
14762;2017-07-11
371690;2023-06-03
391492;2023-05-09
141244;2020-02-08
344463;2023-08-08
215117;2022-05-11
389309;2023-05-03
227279;2022-05-18
9540;2023-04-18
289023;2021-03-25
21445;2022-08-03
38399;2023-08-03
180788;2019-04-06
273402;2021-01-01
325452;2022-03-03
259646;2020-07-15
295987;2021-04-03
158906;2017-07-04
291691;2023-03-17
224768;2020-08-05
140686;2019-12-03
66837;2016-02-12
182061;2019-08-09
293816;2021-02-11
174584;2018-03-07
84926;2016-06-17
127242;2017-01-04
376221;2023-06-03
155575;2019-06-12
20317;2021-05-04
190531;2018-07-10
83887;2016-11-15
256959;2020-05-05
213172;2020-09-05
153108;2017-08-03
360557;2023-02-14
202316;2019-06-18
190433;2018-07-21
93228;2016-10-04
289937;2021-02-09
346247;2022-12-01
94484;2019-03-05
94654;2016-04-06
21214;2022-07-23
104619;2016-08-03
214444;2019-04-09
113413;2016-04-02
332014;2022-10-06
258908;2021-11-03
177146;2020-02-20
198513;2021-07-20
